Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
TMEM173,20,30.72,20,20,30.63,20,70.01,27.43,20,52.04,28.03,20,27.67,20,20,20,54.07,22.14,25.03,33.26,20,20,22.66,54.54,20,43.54,45.59,89.09,43.88
TNF,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.76,36.99,57.48,24.84
TNFAIP3,61.52,102.91,115.28,83.21,70.02,189.25,188.48,51.09,115.55,76.33,38.12,55.71,67.52,35.96,38.38,85.96,85.88,41.52,80.1,71.63,36.33,20,50.28,104.33,47.07,153.66,117.85,169.56,201.2
TNFAIP6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFRSF11A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFRSF13B,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFRSF13C,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.61,23.23,57.48,20
TNFRSF14,20.51,35.33,20,20,36.76,20,44.88,23.13,20,27.76,20,20,23.25,20,20,20,20,22.14,29.03,23.66,20,20,31.16,42.68,20,39.27,53.33,20,48.85
TNFRSF17,20,20,20,41.6,20,20,20,20,20,20,20,20,20,50.59,20,20,20,20,20,20,38.75,20,20,20,63.15,20,20,20,81.14
TNFRSF18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFRSF1B,82.03,145.91,85.64,44.8,140.92,224.6,145.4,67.77,151.96,123.74,59.42,49.38,71.95,41.45,47.66,132.85,74.75,72.89,112.13,147.1,53.28,20,126.76,158.87,53.96,204.03,167.74,132.2,155.66
TNFRSF4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFRSF8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFRSF9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.37,20,20
TNFSF10,20,20,20,20,20,20,35.9,20,20,35.85,20,20,20,20,20,39.07,57.25,20,22.03,20,20,20,22.66,20,20,27.32,35.27,91.97,27.32
TNFSF11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFSF12,42.88,46.08,44.46,41.6,31.51,51.99,53.85,26.89,20,48.57,31.39,30.38,35.42,28.65,29.71,20,46.12,22.14,34.04,38.37,20.58,20,44.61,45.05,27.56,90.49,80,94.84,81.97
